Accuracy ,0.774647887,,
negative,,,i think may problema ngaun ang @enjoyGLOBE pawala wala ang signal d tuloy magamit ang phone kindly maaux na 
positive,,,Dear @enjoyGLOBE until when is your free lte service? 
positive,,,Congratulations @talk2GLOBE for being very consistent in not making true to your promise. 4 mos and counting. http://t.co/V1GJg5RWhg 
negative,,,"@talk2GLOBE Sa loob po ng bahay wala talaga but there are certain areas kung saan nagkakaroon ng 2 bar. Pero sa labas, puno naman "
neutral,,,@talk2GLOBE Hi. How do I know if I am getting 4G LTE signal? I am using a Samsung Galaxy S4. 
positive,,,"@talk2GLOBE Hi, any update from my request? Thanks. "
neutral,,,@talk2GLOBE sir 
neutral,,,@talk2GLOBE that would be cellphone line 
neutral,,,Is there any way I can view my bills online? I can't seem to register. @Talk2Globe 
neutral,,,@talk2GLOBE 09274050229. The number behind the sim is 3080 0615 5047 7464 
neutral,,,"@talk2GLOBE actually, it's my friend's account. His sim got PUK. "
neutral,,,"@talk2GLOBE hi, i changed my sim to LTE sim last april (serial # 8963 4130 2301 0029 3170) and until now i cant seem to connect to LTE. "
negative,,,I already received the load tipid with my other accnt. But with my other number I havent. Same thing that happend last month @talk2GLOBE 
neutral,,,"@talk2GLOBE hi! Can u help me? Activation of my Sim Postpaid, was delivered wed 10AM,still saying I cannot call. I have ref # 40135593 "
neutral,,,"@talk2GLOBE yes naman, this is my 3rd year with Globe ?#GlobeYourWay "
neutral,,,Hi. I want to know why the seeding of my 1500 load has not arrived for the month? PLEASE ANSWER @talk2GLOBE @KenOfGlobe 
negative,,,Supersurf is not working on my ipad. Your your assistance ASAP @talk2GLOBE 
negative,,,"@talk2GLOBE IDK yet. But it wasn't the first time though. Please, just please do something about your service. :) "
negative,,,Cant get through to your cust service by the phone.. What a customer service @talk2GLOBE @enjoyGLOBE ???? 
negative,,,@talk2GLOBE good morning how will i know if may LTE is already activated? 
positive,,,@talk2GLOBE it's okay now since this morning~^^ thanks~^^ 
neutral,,,@JoyceOfGlobe hi... any update? @talk2GLOBE @TemOfGlobe 
neutral,,,@talk2GLOBE hi it's 0917 776 0338. It's a Blackberry 9320. 
positive,,,@talk2GLOBE thanks! 
negative,,,@JenOfGlobe its been a long time. Months nw.i sent a dm to @talk2GLOBE as requested by @TemOfGlobe 
negative,,,"@talk2GLOBE Yes! It's working fine already, thankyou :) "
negative,,,Tangina @talk2GLOBE! Kagabi pa ako hindi makakonek!!!! 
negative,,,@talk2GLOBE @enjoyGLOBE @debbie_obias Bad morning. Wala pa ding response tungkol sa plan ko samantalang yung friend ko isang araw lang. 
negative,,,@enjoyGLOBE @debbie_obias Bad morning. Wala pa ding response tungkol sa plan ko samantalang yung friend ko isang araw lang. @talk2GLOBE 
negative,,,@debbie_obias Bad morning. Wala pa ding response tungkol sa plan ko samantalang yung friend ko isang araw lang. @talk2GLOBE @enjoyGLOBE 
negative,,,More spam! @talk2GLOBE #stopGLOBEtextspam http://t.co/x2yU0AkBmi 
negative,,,@talk2GLOBE pls check reference number 50535067. i am being billed incorrectly after your system upgrade. this is causing so much stress. 
neutral,,,@talk2GLOBE Apparently you can't. I've talked to 982753 reps on your cs line and also personally went to Globe to talk to someone about why 
positive,,,@talk2GLOBE okok thanks! 
positive,,,@talk2GLOBE DM sent! :) 
negative,,,"@talk2GLOBE there's almost 5,000php worth of data charges on my bill and no one can give me a decent answer! You have the worst service!!! "
negative,,,"On the other news, Survived my 24 mos subscription with @enjoyGLOBE @talk2GLOBE. Looking forward for my loyalty rewards ????? "
neutral,,,@talk2GLOBE hey!I wanna view my billing statements.Why cant i view it online? The last bill posted on my online account was still last jan 
negative,,,"@talk2GLOBE Baket walang signal kahit sa Manila? Nasa tuktok nako ng bldg, EDGE lang nasasagap. "
neutral,,,@talk2GLOBE @JenOfGlobe any updates yet? 
negative,,,"Woke up to @talk2GLOBE's mention. Seriously, why are you even pretending to help when you can't even reply promptly?? So done w/ this shit. "
negative,,,@louie_sibug nakatanggap ako ng apology letter today from @enjoyGLOBE . hintay ka na lang ng sayo. #VeryComforting #SendingThisTweetViaSmart 
neutral,,,@talk2GLOBE I just want to ask 4G is LTE connection right? So is it unlimited in my Galaxy S4 or do I have to pay everytime I connect to it? 
negative,,,AGA AGA. No internet agad. Hayyys. @talk2GLOBE 
negative,,,@talk2GLOBE about bill issue 
neutral,,,@MELVSnerable Yes Melvs? Did you get the direct messages from @talk2Globe? 
positive,,,@talk2GLOBE thank you 
negative,,,RT @daintyalisa: I so love Globe that I want to have a job related to I when I graduate. Huehue @enjoyGlobe 
negative,,,@talk2GLOBE wala mangyayari kng puro kayo pangako.. Ayusin nyo services nyo.. 
neutral,,,@talk2GLOBE can anyone help me? 
negative,,,@talk2GLOBE 1 month exactly today & still no solution? Why can't you have a deadline for this? #customerservice  #Woes 
negative,,,@enjoyGLOBE @talk2GLOBE i activated my roaming few days ago for our taiwan trip. Bakit ngayon andito ako taiwan wala parin ako signal? 
negative,,,Had the longest call with the poorest ever customer service of GLOBE!!! So disappointed!!! @talk2GLOBE @enjoyGLOBE 
neutral,,,@talk2GLOBE where is the report? 
neutral,,,@NelskiOfGlobe where can i send the proof of payment? @talk2globe 
negative,,,Mapaumaga o gabi ang hirap makaconnect ughhh globe sayang load ko at sayang yung mga matataas na binigay ko sa survey ughhh @talk2GLOBE -_- 
negative,,,@talk2GLOBE ibang clase po ang service niyo.Sobrang bagal po sa SM Las Pinas.walang katumbas.Di dahil marami costumer.Kulang kayo sa tao. 
positive,,,"Hi, @enjoyGLOBE :) Renewing my contract by the end of the month. Where can I see a list of your free or discounted handsets? :) Thanks! "
neutral,,,@talk2GLOBE DMed you 
neutral,,,@talk2GLOBE hopefully 
negative,,,@talk2GLOBE actually I'm losing my patience and understanding. What I'm asking is the update on my complaints. 
positive,,,@talk2GLOBE Okay po. Thank you very much po. :) 
neutral,,,@talk2GLOBE it's nowhere to be fouuund :| 
negative,,,Crappy network signal @talk2GLOBE 
negative,,,"Always always check your Globe bill. Ako, third (!!!) straight month ko ng double billing sa bbsocial service. Whaddup? @Talk2Globe "
negative,,,Prepare to wait for an hour or so  if you want to talk to a customer service repres... @ Globe Telecom: http://t.co/WNoidEM8Bn #foursquare 
neutral,,,"I didn't @enjoyGLOBE last night at all. Was about to recontract, agent told me I've to settle my (cont) http://t.co/YZmjuRabb7 "
neutral,,,"Went out of my way to visit a @talk2GLOBE store to upgrade my plan, and they're making me call their hotline instead. What is ridiculous. "
negative,,,"@enjoyGLOBE @talk2GLOBE no network reception, always a problem here in tiza roxas city area. Connected thru wifi via Smart! "
negative,,,DI KAYO NAGPAPADALA NG BILL TAPOS GANITO. BILL SHOCK. NAKKLK KAYO. @talk2GLOBE @enjoyGlobe http://t.co/htyE2yiHIE 
negative,,,"@fabioandco: @enjoyGLOBE @talk2GLOBE no network reception, always a problem here in tiza roxas city area. Connected thru wifi via Smart!!! "
neutral,,,YOU SUCK @talk2GLOBE 
neutral,,,@talk2GLOBE I cant receive messages 
negative,,,"Ako na nga ang magre-recontract, ako pa ang nagmamakaawa sa @enjoyGLOBE na i-accommodate ang (cont) http://t.co/mBL7PjPYid "
negative,,,What's the use of having a 3g signal when you can't even pull up a browser and ur social media networks are not updating.Kainis. @talk2globe 
negative,,,"@enjoyGLOBE @talk2GLOBE no network reception, always a problem here in tiza roxas city area. Connected thru wifi via Smart!!! "
negative,,,@talk2GLOBE DM me please.. badly need help.. reference number of my calls RIQ13060003417 and FUC13060000473.. tired of calling your hotline 
neutral,,,@talk2GLOBE I can't receive messages 
negative,,,Globe's service is adding up to my stress :((( @talk2GLOBE 
neutral,,,"I'm so touched, @enjoyGLOBE! Feel na feel ko na VIP ako sa inyo. Galing nyo mag-alaga ng loyal (cont) http://t.co/uvgDcQ6cnt "
neutral,,,"@enjoyGLOBE we're ready for the s4,we're  so excited :DD "
negative,,,@talk2GLOBE pls cancel my auto pay 
neutral,,,@talk2GLOBE is it possible to change my sim to LTE? 
neutral,,,My handset is LTE capable but my carrier is not @talk2GLOBE 
negative,,,@markperegrino Tawagan mo yung talk2globe! Intay-intay lang ng onti sa linya pero mas mabilis maaayos yun kung ganun haha. 
negative,,,"I wonder kailan kaya magiging LTE area ang San Fernando, Pampanga.. :) Ummmm @enjoyGLOBE @talk2GLOBE ?? "
positive,,,@talk2GLOBE you're welcome! God bless and more power to #Globe.#GoLangNgGo! :) 
negative,,,Dear Globe! Ndi nba talaga gaganda signal nyo??!! sayang ang plan!!! Ndi naman magamit ng maayos!! Kahit sa wimax! Haaaay!!! @talk2GLOBE 
negative,,,IM SO FUCKING PISSED WITH GLOBE WHY ARE THEY REGISTERED MY ON SUPERFB I DIDNT EVEN GOLD DIGGERS FUCK YOU @enjoyGLOBE 
negative,,,@enjoyGLOBE WHAT THE FCK IS WRONG WITH YOU YOU REGISTERED MY TWICE THIS WEEK PUTANGINA NIYO 
negative,,,@enjoyGLOBE why'd registered me automatically btw? And you will just text that it expired fcking gold diggers 
negative,,,@enjoyGLOBE why'd registered me automatically btw? And you will just text that it's expired fcking gold diggers 
negative,,,@talk2GLOBE hi...mai problema po ako about bakit po ako nakakatangap ng mga tweets about abscbnnews? e... hindi nmn ako nag subscribe? 
negative,,,"Itong @talk2GLOBE echusera din eh! Keep me posted pang nalalaman ang bruha, ayaw naman mag-reply pag mine-mention mo! Kaloka! Lol "
negative,,,@jhoanneNing pero mas malakas maka badtrip ang signal ng Globe!! @talk2GLOBE 
neutral,,,@jasper_castillo Good morning Jasper. I got your details from @talk2Globe but I would just like to verify that this is for account # 738? 
negative,,,@talk2GLOBE hi. I paid my bill thru BPI online banking 2 nights ago but until now it's still not reflecting. How many days will it take? 
negative,,,@talk2GLOBE  i renewed my contract with u 2wks ago and was told to pick up the unit at globe center montalban on june 5.... 
negative,,,Sana pati Globe may parang Freedom plan. Yung walang monthly fee.. Hayy. Gusto ko ng ganuun..  @enjoyGLOBE 
positive,,,Pag-kasi sinabing GLOBE wow yaman ni ate.. Haha. #ewan #Jk #IloveGlobe #Freedom @enjoyGLOBE 
negative,,,@talk2GLOBE  I am getting tired of following up everyday and hearing that I need to wait for 24 hrs for feedback everytime. 
neutral,,,3 agents = 0 results. Nice! @talk2GLOBE 
neutral,,,Yey! Okay na network ko! Super fast internet speed brought to me by @enjoyGLOBE ? 
neutral,,,"@talk2GLOBE I asked in your branch and they told me youre not yet offering it, Cant even find it in your postpaid planner online. "
positive,,,@talk2GLOBE Okay po. You're welcome :) Kindly inform me when you fixed it na po. 
negative,,,"@talk2GLOBE hi, is there an on-going maintenance over here in Sta. Maria, Bulacan? It's been over an hour and I still don't have any signal. "
positive,,,Hi @talk2GLOBE how do i check how much i have consumed from powerroam? Pls advice. Thanks 
negative,,,"still waiting for @talk2GLOBE to react and still no reactions from them, what a kind of service you have "
negative,,,@talk2GLOBE im following already. Where's the DM regarding my bill? 
negative,,,@enjoyGLOBE @TemOfGlobe wala talaga  kayo balak iimprove ang service nyo 
negative,,,@enjoyGLOBE your billing service is really sucky!!! Seriously I might just change service provider soon! 
negative,,,@talk2GLOBE Globe sucks bigtime! \m/ 
negative,,,@talk2GLOBE I'm in LA my line doesn't work. Hassle kayo 
negative,,,@talk2GLOBE your system sucks! you gave me an iphone5 for my loyalty program & yet you ask for financial docs for my personal plan! 
negative,,,@enjoyglobe ang bagal ng supersurf kagabi pa. -_____- 
negative,,,"@talk2GLOBE so, that is how you treat a loyal subscriber for 10 years now?! "
negative,,,@talk2GLOBE your system sucks! you gave me an iphone5 for my bus. plan & yet you ask for financial docs for my personal plan! 
neutral,,,@talk2GLOBE @enjoyGLOBE what's the highest bill one can get due to data service usage? Isn't there a maximum amount???? 
negative,,,"@DeniseOfGlobe no, it's okay. I've had enough of your team's incessant disregard and incompetence. @talk2GLOBE "
neutral,,,"@talk2GLOBE Hi Globe. Whenever I inquire for my unbilled charge, you still send me zeroes. When will this get fixed? "
positive,,,"Wow @enjoyGLOBE, your speed here in Intramuros Manila is this good. Sana ganito rin sa Laguna :) http://t.co/8CTR3eCnPV "
negative,,,@HarryOfGlobe i haven't heard from you. @talk2Globe @enjoyGLOBE 
neutral,,,@genemdmph that is true. @talk2GLOBE's service here on Twitter is not meeting quality cust service. 
neutral,,,@talk2GLOBE  I still don't have signal from your bridge data roaming partner http://t.co/QFDJ6ekTPA 
positive,,,@NelskiOfGlobe yes. I reported it and got a reference no. which is 50538307. Kindly check the status please. Thank you. @talk2GLOBE 
negative,,,@talk2GLOBE can a postpaid plan holder subscribe to superunli promo? 
negative,,,Bakit kaya walang signal ang @enjoyGLOBE? @talk2GLOBE 
negative,,,@SP02balbon kagabi halos isang oras wala akong net kahit ON ang 3G. @enjoyglobe palpak!! 
neutral,,,Sana my ganito din sa @enjoyGLOBE pra mka wipe na :D 
negative,,,@talk2GLOBE is there LTE in paranaque already? 
negative,,,@talk2GLOBE I already followed you. If you guys don't have any kind of Customer Service offenses then there is no need to apologize. 
negative,,,Hi @talk2GLOBE!! Unlimited to all Networks ako pero hindi NANAMAN ako makapagtext to other networks. Lagi nalang. ang pangit ng service nyo! 
neutral,,,@talk2GLOBE I got ur letter dated May 20 only today (Jun 7). I'm expecting that to be delivered including the April billing w/in this month. 
negative,,,@talk2GLOBE I already informed you that you can send it thru my email. Why it took you so long to send it (April)? http://t.co/5UXZGn1MfC 
negative,,,@talk2GLOBE @TemOfGlobe @StephOfGlobe @MariaofGlobe thank you! number changed already. 
positive,,,@talk2GLOBE @DeniseOfGlobe Thank you so much Globe! :) 
negative,,,@talk2GLOBE please help. My new LTE sim on the iPhone5 has not yet been activated. What to do? I called 211 and it doesn't connect 
neutral,,,Sana may ganito din ang @enjoyGLOBE.. para mka wipe out: https://t.co/cUskTYskgr 
neutral,,,@talk2GLOBE I need to clarify some items in relation to my bill. how can i do that? 
neutral,,,@suuperkhai @talk2GLOBE true ! Given na yan ! 
neutral,,,@talk2GLOBE any update po sa tweet ko kahapon 
negative,,,@StephOfGlobe I want to the reason of delay. Because you said 8 working days! @talk2GLOBE 
negative,,,@talk2GLOBE  i cannot receive messages from 1 person only. 
negative,,,@jhoanneNing @talk2GLOBE tama! Sayang lang binabayad sa inet! Ndi naman magamit ng maayos 
positive,,,@talk2GLOBE Sm Sanlazro. thanks 
negative,,,Globe! Ano na naman ba problema ng connection niyo? Hindi na natino yung service niyo. Nakakaloka! @talk2GLOBE 
negative,,,Magbabayad na lang ba kami at hindi na makukuha ng matino yung internet connection? Aba naman! Be fair naman. @talk2GLOBE 
